immature pericytes	#D2B993
M/X cells	#DED8CE
RGS5 pericytes	#CC4285
younger goblet cells	#C3EACA
portal hepatocytes	#E42859
central hepatocytes	#86564A
enterochromaffin cells	#55F97A
colonocyte precursors	#4AA08F
D cells	#9006E9
N cells	#1354E2
L cells	#4C51A5
older goblet cells	#D2BB71
BEST2 goblet cells	#D257D7
K cells	#D93329
angiogenic pericytes	#24BB35
SMC 1 (PLPP2)	#C9A580
PRG4 pericytes	#6E9979
contractile pericytes	#64652F
I cells	#946262
Enterocyte	#225805
Enteroendocrine	#F7DC6F
Enterocyte_precursor	#1f77b4
Goblet	#8e3101
M_cell	#f82745
Stem_cell	#777777
Tuft	#9e018a
colon	#465982
duodenal	#90D8AF
ileum	#F8871A
IPS	#4DBBD5
tIPS	#00A087
FSC	#8491B4
FSC early	#003C67
FSC late	#3C5488
ASC	#E64B35
PSC	#4DBBD5
tPSC	#00A087
spleen	#7AA6DC
thymus	#EFC000
Small_Intestine	#91D1C2
Intestine	#91D1C2
Large_Intestine	#37ab6c
Liver	#8F7700
Lung	#F39B7F
Pancreas	#DC0000
Prostate	#4A6990
Salivary_Gland	#3B3B3B
Thymus	#7E6148
Trachea	#F39B7F
Esophagus	#43A047
esophagus	#43A047
Stomach	#B09C85
endothelial cell of hepatic sinusoid	#15889C
hepatocyte	#7788cd
intrahepatic cholangiocyte	#A2C8EB
acinar cell of salivary gland	#CC7DA5
pericyte cell	#AE4DDD
endothelial cell of lymphatic vessel	#83D397
adventitial cell	#388CAF
endothelial cell	#C93476
duct epithelial cell	#2B7BC5
basal cell	#E68A54
myoepithelial cell	#A466A4
pancreatic acinar cell	#3caa0a
pancreatic stellate cell	#9A384B
pancreatic ductal cell	#5469C9
pancreatic beta cell	#0dc290
basal cell of prostate epithelium	#6C8F44
epithelial cell	#73CFC0
hillock-club cell of prostate epithelium	#89DB96
luminal cell of prostate epithelium	#C02DDC
smooth muscle cell	#C732E5
stromal cell	#AA2E96
salivary gland cell	#486EF5
ionocyte	#A2E2AE
enterocyte of epithelium of large intestine	#61E190
large intestine goblet cell	#BAA8E4
paneth cell of epithelium of large intestine	#FF7300
transit amplifying cell of large intestine	#FD4C7A
gut endothelial cell	#B423DF
intestinal crypt stem cell of large intestine	#777777
intestinal enteroendocrine cell	#8F6DAD
intestinal tuft cell	#9D9B9B
type ii pneumocyte	#FFA900
bronchial vessel endothelial cell	#886573
respiratory mucous cell	#C05E3F
club cell of prostate epithelium	#3C5939
hillock cell of prostate epithelium	#844F4A
enterocyte of epithelium of small intestine	#225805
transit amplifying cell of small intestine	#F3D26D
small intestine goblet cell	#6C9952
paneth cell of epithelium of small intestine	#196493
intestinal crypt stem cell of small intestine	#614C61
immature enterocyte	#CF5A3E
intestinal crypt stem cell	#600ABB
mature enterocyte	#c21df3
goblet cell	#8e3101
endothelial cell of artery	#D2F677
lung ciliated cell	#994841
respiratory goblet cell	#846437
serous cell of epithelium of bronchus	#686EB1
capillary endothelial cell	#0C8CA9
capillary aerocyte	#40A509
type i pneumocyte	#284415
vein endothelial cell	#5A6ECE
